SUMMARY OF INPUT VALUES USED IN HANFORD RUNS
run #     start time         plume height  duration   volume   grainsize  density    distal
        yyyymmddhh.hh             km          hrs      km3        mm       kg/m3    fraction
    1   06-Feb-1968 20:44:35    022.00      003.00    1.3600    0.0300    2000.0    0.050
    2   26-Nov-1995 08:21:31    022.00      003.00    1.3600    0.0300    2000.0    0.050
    3   22-Apr-2010 09:16:21    022.00      003.00    1.3600    0.0300    2000.0    0.050
    4   19-Oct-1999 17:05:11    022.00      003.00    1.3600    0.0300    2000.0    0.050
    5   18-Aug-1962 23:42:10    022.00      003.00    1.3600    0.0300    2000.0    0.050
    6   03-Oct-1957 11:10:10    022.00      003.00    1.3600    0.0300    2000.0    0.050
    7   28-Mar-2002 08:57:50    022.00      003.00    1.3600    0.0300    2000.0    0.050
    8   03-Apr-2013 02:19:25    022.00      003.00    1.3600    0.0300    2000.0    0.050
    9   23-Jun-2009 02:35:34    022.00      003.00    1.3600    0.0300    2000.0    0.050
   10   20-Nov-2003 04:34:08    022.00      003.00    1.3600    0.0300    2000.0    0.050
   11   26-Jul-2007 19:53:40    022.00      003.00    1.3600    0.0300    2000.0    0.050
   12   12-Jan-1989 13:31:27    022.00      003.00    1.3600    0.0300    2000.0    0.050
   13   08-Jul-2004 10:33:00    022.00      003.00    1.3600    0.0300    2000.0    0.050
   14   06-Oct-1978 10:23:52    022.00      003.00    1.3600    0.0300    2000.0    0.050
   15   21-Nov-2013 16:58:42    022.00      003.00    1.3600    0.0300    2000.0    0.050
   16   21-May-1993 13:12:34    022.00      003.00    1.3600    0.0300    2000.0    0.050
   17   10-Mar-1986 00:01:25    022.00      003.00    1.3600    0.0300    2000.0    0.050
   18   21-Sep-1994 10:48:38    022.00      003.00    1.3600    0.0300    2000.0    0.050
   19   10-Mar-1982 04:24:21    022.00      003.00    1.3600    0.0300    2000.0    0.050
   20   21-Jun-1959 01:58:20    022.00      003.00    1.3600    0.0300    2000.0    0.050
